CO (ppm),PM10 (µg/m3),NO2 (ppb),Suhu (°C),Kelembaban (%),Kecepatan Angin (m/s),Kategori Kualitas Udara
6.2,30.4,33.7,24.6,75.9,2.9,Sedang
4.7,58.2,14.5,28.5,77.5,2.5,Sedang
6.6,15.9,22.6,26.3,73.8,0.5,Sedang
8.8,70.6,57.7,29.1,77.1,2.7,Tidak Sehat
4.4,59.5,90.1,28.0,90.8,4.7,Tidak Sehat
4.4,55.1,51.8,26.4,84.9,2.1,Sedang
8.9,69.7,5.0,29.2,83.7,1.8,Tidak Sehat
6.9,83.3,53.3,32.5,70.4,2.9,Sedang
3.8,70.3,75.9,27.5,66.1,2.8,Sedang
6.4,13.2,21.7,29.8,84.6,3.7,Sedang
3.8,24.4,36.0,24.8,83.8,1.2,Baik
3.8,37.5,40.4,25.6,89.7,3.2,Baik
5.6,50.5,16.5,29.2,69.0,3.1,Sedang
0.2,60.4,59.4,31.7,72.7,2.4,Sedang
0.7,35.5,36.4,28.9,58.6,2.8,Baik
3.6,53.7,52.6,27.2,71.1,3.5,Sedang
2.5,34.9,13.4,28.0,85.0,3.4,Baik
5.8,37.8,26.9,24.9,70.3,1.4,Sedang
2.7,21.9,61.7,29.5,81.4,3.3,Sedang
1.5,31.5,28.8,30.2,73.1,2.4,Baik
8.7,23.0,91.8,26.9,78.2,2.6,Tidak Sehat
4.4,30.5,28.0,26.8,63.5,2.6,Sedang
5.2,71.1,46.7,28.7,75.9,2.3,Sedang
1.4,31.0,68.0,26.9,50.0,3.7,Sedang
3.6,102.6,5.0,27.8,73.1,2.4,Sedang
5.3,59.9,5.0,33.2,58.7,1.4,Sedang
2.1,53.7,5.0,27.4,87.1,2.1,Sedang
5.9,32.8,77.9,27.1,82.8,2.7,Sedang
3.5,64.0,23.4,26.4,79.7,3.7,Sedang
4.3,38.5,116.7,29.9,90.2,3.1,Tidak Sehat
3.5,52.4,23.1,27.5,65.5,1.6,Sedang
9.6,101.2,45.5,26.4,92.5,5.0,Tidak Sehat
5.0,48.1,86.3,31.3,84.3,2.8,Tidak Sehat
2.4,73.0,100.2,31.5,72.6,3.8,Tidak Sehat
7.1,35.9,101.8,26.5,86.4,2.3,Tidak Sehat
1.9,49.3,76.3,23.3,63.9,3.0,Sedang
5.5,85.4,70.7,30.5,66.8,3.3,Sedang
0.1,37.5,57.8,26.3,68.9,3.7,Sedang
1.7,86.2,63.4,30.0,69.7,3.6,Sedang
5.5,64.2,23.5,23.1,64.4,3.4,Sedang
6.8,38.8,15.5,30.2,87.2,2.2,Sedang
5.4,62.6,39.9,25.0,72.4,1.9,Sedang
4.7,69.5,34.9,29.8,78.5,2.8,Sedang
4.2,62.4,26.4,28.0,69.3,3.4,Sedang
1.3,18.6,60.9,25.6,56.8,2.3,Sedang
3.2,35.5,68.7,27.0,77.7,3.6,Sedang
3.8,45.0,42.7,29.7,55.9,4.0,Sedang
7.6,48.5,84.3,28.3,74.3,1.6,Tidak Sehat
5.9,62.4,5.7,29.5,61.3,1.7,Sedang
0.6,53.6,34.2,32.9,94.9,2.4,Sedang
5.8,23.3,18.5,24.1,84.1,2.8,Sedang
4.0,57.6,5.0,32.0,76.1,2.0,Sedang
3.3,62.2,37.5,28.3,87.6,3.9,Sedang
6.5,61.2,36.3,25.8,66.5,2.9,Sedang
7.6,71.6,85.4,24.7,80.4,2.5,Tidak Sehat
7.3,66.7,58.9,27.5,77.0,1.1,Sedang
2.9,59.2,9.3,30.3,77.6,1.2,Sedang
4.2,48.6,95.6,27.7,87.7,2.8,Tidak Sehat
5.8,16.8,76.6,31.8,82.3,0.5,Sedang
7.4,58.6,57.5,24.4,77.9,3.5,Sedang
3.8,54.2,33.2,28.0,58.5,2.3,Sedang
4.5,55.4,11.2,24.9,65.4,5.7,Sedang
2.2,24.5,28.8,28.9,73.8,4.8,Baik
2.0,28.4,72.7,30.2,75.9,2.3,Sedang
7.0,71.1,96.5,26.9,63.7,2.4,Tidak Sehat
8.4,49.2,86.3,22.0,95.0,3.5,Tidak Sehat
4.8,63.6,25.3,28.5,90.2,4.2,Sedang
7.5,50.6,6.4,29.1,81.0,0.9,Sedang
5.9,50.6,44.2,29.0,75.7,0.7,Sedang
3.4,68.8,5.0,31.1,72.9,1.9,Sedang
5.9,39.7,49.7,25.3,65.5,3.1,Sedang
8.8,51.9,35.6,29.7,75.8,3.0,Tidak Sehat
4.9,40.8,26.0,31.0,77.6,3.6,Sedang
8.9,41.3,5.0,23.6,62.6,1.3,Tidak Sehat
0.1,43.8,55.4,28.8,78.3,0.5,Sedang
7.1,54.4,24.0,26.7,73.4,3.4,Sedang
5.2,40.4,5.0,27.8,55.9,1.7,Sedang
4.3,75.1,5.0,28.9,66.4,0.5,Sedang
5.2,32.1,39.2,26.8,70.9,2.6,Sedang
0.1,46.3,93.2,26.3,93.9,3.3,Tidak Sehat
4.5,41.2,89.8,28.1,80.6,2.4,Tidak Sehat
5.9,78.9,26.3,25.3,61.6,2.0,Sedang
8.7,53.9,21.9,25.3,79.9,2.3,Tidak Sehat
3.7,70.6,54.1,29.7,59.5,2.1,Sedang
3.0,20.3,10.0,25.1,85.8,1.2,Baik
3.7,55.3,49.1,29.7,70.3,1.8,Sedang
7.3,67.8,63.0,29.2,74.1,3.0,Sedang
5.8,51.6,76.8,23.7,88.3,2.8,Sedang
3.7,71.3,37.0,26.3,62.1,2.7,Sedang
6.3,39.7,33.9,31.0,61.0,1.5,Sedang
5.2,78.2,13.7,25.5,69.2,2.3,Sedang
7.4,96.0,15.2,26.8,85.4,0.5,Sedang
3.2,42.7,33.2,29.2,59.8,2.7,Baik
4.2,41.1,51.0,30.0,50.0,3.9,Sedang
4.0,79.1,67.4,27.4,70.5,1.0,Sedang
1.3,81.6,15.9,26.5,80.5,1.9,Sedang
5.7,39.5,84.8,31.6,87.0,2.8,Tidak Sehat
5.7,41.6,31.9,32.3,70.4,3.8,Sedang
5.0,44.4,39.4,30.4,70.9,2.1,Sedang
4.4,23.1,17.6,28.2,86.5,1.8,Sedang
1.5,31.6,5.0,26.0,56.3,0.5,Baik
3.9,29.9,66.5,25.9,71.1,2.6,Sedang
4.1,34.6,62.1,29.3,76.9,4.5,Sedang
3.0,49.3,31.6,29.0,79.5,2.8,Baik
4.6,54.7,42.0,31.5,69.9,2.5,Sedang
6.0,81.0,55.5,29.6,75.3,2.8,Sedang
9.7,30.0,5.0,24.2,50.1,2.5,Tidak Sehat
5.4,69.7,24.1,30.6,68.4,1.7,Sedang
5.6,45.7,63.8,25.5,79.5,3.3,Sedang
4.8,49.0,5.0,27.0,65.2,2.7,Sedang
0.2,63.5,48.8,28.6,75.6,2.5,Sedang
4.9,27.5,5.0,33.0,79.5,1.5,Sedang
5.2,57.6,54.0,35.0,71.6,3.8,Sedang
11.2,53.3,38.9,29.5,76.7,3.2,Tidak Sehat
4.5,59.8,5.0,27.5,65.4,1.9,Sedang
5.8,55.8,74.9,29.3,72.9,3.5,Sedang
4.9,99.1,18.0,30.2,81.1,2.0,Sedang
2.1,37.2,15.7,27.2,76.6,1.7,Baik
7.9,39.4,46.0,32.5,69.1,1.7,Sedang
6.9,37.5,74.5,28.6,77.2,0.7,Sedang
7.0,38.9,9.5,29.2,82.1,3.0,Sedang
2.7,37.3,41.9,29.7,54.5,0.7,Sedang
8.5,73.8,52.9,29.1,86.6,1.3,Tidak Sehat
1.5,78.4,60.8,30.1,71.6,0.5,Sedang
6.5,38.6,45.3,26.5,79.3,2.4,Sedang
10.5,33.4,29.0,26.6,87.0,2.3,Tidak Sehat
2.5,59.4,15.2,25.2,61.3,2.2,Sedang
3.6,39.0,42.6,29.1,67.9,1.5,Sedang
5.2,62.7,7.8,29.9,72.1,1.3,Sedang
3.7,54.1,5.0,29.1,67.2,3.0,Sedang
1.1,19.7,53.1,32.2,92.3,1.9,Sedang
5.2,81.0,67.1,28.0,66.4,2.8,Sedang
2.3,85.9,5.0,29.7,69.4,1.6,Sedang
6.2,37.7,9.7,25.3,77.0,2.7,Sedang
2.7,42.2,58.6,27.0,63.0,3.8,Sedang
8.9,55.7,101.7,29.7,71.0,3.1,Tidak Sehat
3.0,56.7,40.6,30.1,78.2,2.1,Sedang
4.2,63.2,18.2,27.3,71.7,2.8,Sedang
7.0,90.2,34.5,27.8,74.1,2.3,Sedang
1.9,46.5,81.2,24.2,69.7,2.5,Tidak Sehat
5.6,34.0,20.6,27.1,59.9,2.2,Sedang
8.3,22.4,16.0,30.2,78.2,2.3,Tidak Sehat
1.0,35.4,25.5,29.4,92.5,2.7,Baik
5.5,49.3,11.4,29.3,75.2,1.5,Sedang
5.6,85.9,43.7,28.1,77.3,1.5,Sedang
7.0,39.6,88.7,28.0,81.9,1.1,Tidak Sehat
1.9,54.5,49.7,26.3,62.3,0.9,Sedang
1.7,49.7,32.4,29.7,92.0,1.3,Baik
6.3,73.8,31.2,29.1,77.0,2.7,Sedang
5.7,100.5,5.0,29.2,91.3,1.6,Sedang
5.6,39.4,66.5,26.7,67.7,3.0,Sedang
5.9,40.2,37.7,22.6,93.2,2.5,Sedang
3.3,70.9,34.6,30.7,82.8,0.5,Sedang
5.6,63.6,135.8,26.8,80.5,3.2,Tidak Sehat
5.7,86.9,49.0,25.8,77.3,3.3,Sedang
3.2,61.7,17.4,29.7,72.5,1.5,Sedang
9.7,42.8,27.2,27.0,87.0,2.9,Tidak Sehat
6.2,61.8,74.5,30.6,76.4,1.6,Sedang
2.0,72.2,43.4,29.5,55.3,2.6,Sedang
6.6,66.4,5.0,29.7,63.8,1.2,Sedang
2.6,60.1,67.6,24.6,73.1,0.7,Sedang
7.0,71.3,20.0,31.0,78.1,2.1,Sedang
7.9,73.4,96.2,28.7,74.4,2.4,Tidak Sehat
2.9,77.6,72.4,27.1,87.2,2.1,Sedang
7.4,63.0,26.6,28.4,55.5,1.3,Sedang
6.0,46.7,78.4,23.6,76.4,2.1,Sedang
7.1,52.9,42.0,29.0,56.8,2.8,Sedang
9.7,74.1,65.6,25.4,82.6,2.5,Tidak Sehat
4.4,33.7,54.5,24.6,74.1,2.7,Sedang
3.1,57.4,14.6,24.2,79.2,1.8,Sedang
2.8,42.1,20.7,30.8,66.4,3.7,Baik
3.0,50.6,70.9,26.4,87.8,1.3,Sedang
4.8,75.6,30.0,31.8,85.4,3.0,Sedang
5.9,53.8,27.9,26.7,80.8,3.7,Sedang
5.7,50.9,11.3,23.7,73.7,3.0,Sedang
7.1,22.8,52.7,25.2,80.8,2.3,Sedang
5.0,64.9,101.9,31.1,67.9,2.0,Tidak Sehat
8.6,62.9,8.0,27.6,83.6,3.5,Tidak Sehat
4.3,93.3,40.7,26.6,91.5,1.1,Sedang
11.8,43.8,82.4,28.4,85.7,1.5,Tidak Sehat
6.6,54.4,37.6,29.3,67.7,2.1,Sedang
2.9,55.0,53.6,30.8,78.6,3.7,Sedang
2.3,81.5,8.1,31.6,62.1,2.9,Sedang
6.2,48.1,52.8,27.1,80.7,1.5,Sedang
4.4,55.6,34.4,24.7,79.5,2.2,Sedang
6.8,62.2,69.6,27.0,56.3,1.9,Sedang
6.2,53.7,75.6,28.7,63.4,1.8,Sedang
4.8,41.1,117.7,25.6,72.2,3.5,Tidak Sehat
2.9,53.9,57.4,25.6,72.0,1.1,Sedang
1.2,71.5,49.8,28.9,62.9,4.1,Sedang
3.9,29.5,45.8,27.9,78.9,3.3,Sedang
7.1,52.7,29.4,28.1,77.5,3.6,Sedang
5.5,36.0,50.2,26.1,73.1,2.0,Sedang
1.9,73.9,31.1,27.4,67.4,2.4,Sedang
5.4,19.5,45.1,25.7,85.5,1.1,Sedang
6.0,38.8,79.5,30.2,91.6,2.0,Sedang
2.8,57.5,9.8,30.6,70.2,3.0,Sedang
5.4,81.3,74.2,23.4,68.9,3.8,Sedang
5.1,48.7,79.5,25.7,79.9,1.4,Sedang
2.1,38.9,36.5,24.3,71.4,2.1,Baik
5.9,87.6,5.0,26.4,73.6,2.3,Sedang
6.4,21.0,21.8,27.8,82.4,1.1,Sedang
7.7,10.0,78.9,24.4,55.9,3.1,Sedang
7.6,58.8,39.3,25.7,88.2,1.8,Sedang
1.6,40.0,10.0,25.5,75.7,2.3,Baik
2.7,29.6,24.9,28.5,70.9,2.0,Baik
6.3,64.2,65.2,28.2,74.1,1.7,Sedang
6.3,54.9,56.4,26.2,74.6,2.5,Sedang
6.3,38.7,32.8,28.4,57.7,2.3,Sedang
14.6,24.4,29.0,26.6,89.9,2.1,Tidak Sehat
6.4,67.4,28.2,27.3,75.4,1.8,Sedang
7.8,63.0,12.3,32.2,79.4,2.8,Sedang
7.4,48.0,88.5,31.4,84.5,4.2,Tidak Sehat
6.6,86.9,30.3,24.8,64.8,2.6,Sedang
4.2,28.6,76.5,30.1,79.7,3.5,Sedang
6.9,19.5,85.6,30.0,72.3,1.1,Tidak Sehat
3.1,36.2,69.9,25.1,83.5,2.7,Sedang
4.4,49.1,27.1,30.0,53.7,1.4,Sedang
3.8,54.9,52.1,31.8,74.0,1.0,Sedang
5.2,45.2,39.3,25.2,69.0,1.8,Sedang
10.8,57.0,12.9,25.7,79.3,3.7,Tidak Sehat
0.3,25.0,49.7,30.5,79.7,3.5,Sedang
6.7,78.9,5.0,28.7,67.9,2.7,Sedang
1.0,48.4,75.6,29.4,67.9,1.0,Sedang
3.8,72.3,26.1,28.9,73.9,2.3,Sedang
7.7,56.9,46.0,29.0,66.0,2.8,Sedang
5.2,59.1,48.5,24.7,83.4,2.7,Sedang
2.3,61.4,32.2,30.6,71.3,0.7,Sedang
3.2,59.0,57.6,30.9,50.0,1.6,Sedang
6.7,62.9,25.8,27.4,71.3,2.4,Sedang
3.2,76.6,66.1,27.9,64.6,3.0,Sedang
5.5,53.9,5.0,24.2,58.7,0.5,Sedang
5.1,64.2,43.8,29.3,62.6,2.3,Sedang
